row_id,tgas_source_id,name,ra,dec,parallax,distance,G,J,rave_obs_id,rv,erv,group_id,group_size
0,4929746660437392256,TYC 8036-1001-1,22.484376,-48.351785,9.3257,107.527,8.633,7.751,,,,319,2
1,189430460304883968,TYC 2911-1339-1,85.085926,37.745584,7.1072,141.624,8.993,8.043,,,,320,2
2,1888516670743181312,TYC 2735-1142-1,337.944139,30.232609,5.6788,179.144,9.777,9.033,,,,321,2
3,1575495159242560896,TYC 3836-882-1,181.014300,57.262346,5.7095,176.155,11.760,10.525,,,,322,2
4,3922857273709495168,TYC 870-613-1,177.732186,13.226440,6.1852,163.841,10.123,9.182,,,,323,2
5,2072004786095135360,TYC 2681-443-1,297.640064,37.372427,5.3572,190.274,11.124,10.028,,,,324,2
6,2789507041717222400,HIP 4243,13.538604,20.079775,9.2249,108.729,7.997,7.285,,,,325,2
7,293605063866210688,HIP 6342,20.373974,24.330607,37.0993,26.960,9.900,7.894,,,,50,5
8,308619170261760,TYC 48-1163-1,44.348312,0.971631,7.4461,135.061,10.465,9.437,,,,326,2
9,310337157179392,TYC 48-685-1,44.356001,0.998117,7.3808,136.097,10.592,9.513,20120912_0304p01_050,-3.08,1.10,326,2
10,526649508313229184,TYC 4029-28-1,14.563713,67.483108,5.8850,172.087,9.742,8.908,,,,327,2
11,2189316423304773504,HIP 104355,317.111541,56.104517,5.3403,189.422,8.000,7.700,,,,328,2
12,4778217534174268288,TYC 8082-63-1,70.385504,-52.201778,11.4141,87.774,9.887,8.861,20101119_0435m50_144,12.01,1.20,101,3
13,6222528002603773440,TYC 6754-1347-1,221.018865,-27.164152,5.8656,173.638,9.664,8.658,20080726_1445m28_053,-49.15,1.32,329,2
14,5249564150230643712,TYC 8950-174-1,148.398039,-64.192273,4.8741,208.913,9.103,8.635,,,,23,10
15,6416690382993634176,HIP 95712,292.015105,-72.419029,5.5096,182.774,8.760,7.253,,,,330,2
16,6681119871460317824,HIP 101787,309.433089,-41.227847,10.6634,95.046,6.483,5.769,,,,331,2
17,2920147096319310464,TYC 6529-1259-1,101.132901,-26.324091,7.0250,143.260,10.739,9.364,,,,332,2
18,6681138185197587072,HIP 101972,309.977857,-40.972374,7.0044,144.877,8.749,8.165,,,,333,2
19,1537446937324911616,HIP 59253,182.316846,42.481666,18.5957,53.820,8.289,7.254,,,,62,4
20,6040514023109966848,HIP 77665,237.830081,-30.601800,8.0673,126.386,9.754,8.904,,,,334,2
21,6004078990901835392,TYC 7830-3112-1,229.601763,-41.985923,5.4325,186.324,10.134,9.049,,,,102,3
22,3594882747669488384,TYC 4945-555-1,181.238697,-6.805290,6.9604,151.502,11.662,10.442,,,,335,2
23,4621611035014553984,TYC 9377-1166-1,78.226113,-81.422086,16.2275,61.680,10.357,8.898,20091205_0421m81_115,-1.75,1.22,336,2
24,1010724895602480256,TYC 3424-310-1,135.233347,46.491744,5.0935,199.414,11.873,10.600,,,,337,2
25,6774106394451774720,HIP 104027,316.135040,-39.008535,14.4568,69.247,9.547,8.425,,,,338,2
26,5249607065541825920,TYC 8950-1447-1,147.079790,-64.055866,12.9821,77.160,10.943,9.514,,,,30,8
27,6774126838496552320,TYC 7965-704-1,317.282880,-39.180195,3.5067,293.448,10.219,8.933,,,,339,2
28,6523581982868244736,TYC 8463-928-1,359.000360,-50.104821,5.8938,170.992,9.987,9.242,20071108_0008m48_021,3.67,1.02,340,2
29,5518927456604838400,TYC 8135-2954-1,119.318187,-46.576067,9.2531,108.485,9.640,8.689,,,,341,2
30,4930304078472796544,TYC 8040-466-1,24.299092,-46.943526,6.6422,151.645,12.039,10.714,20100807_0138m48_070,0.10,1.23,342,2
31,3923849892191400576,HIP 57007,175.304507,13.785185,6.3476,159.619,8.979,8.144,,,,323,2
32,5569977815842361344,TYC 7621-779-1,97.469397,-42.303219,7.8673,127.645,10.936,9.820,,,,343,2
33,5829672360564668032,TYC 9040-1486-1,243.789511,-62.090154,10.2279,98.168,10.559,9.397,,,,103,3
34,6102878700590656128,TYC 7813-844-1,216.036111,-42.647047,3.9359,258.516,11.183,10.201,,,,344,2
35,1538003462002940544,TYC 3020-1497-1,185.116978,42.222687,8.5867,117.039,10.421,9.355,,,,345,2
36,6040704822735613312,TYC 6790-638-1,238.235546,-29.842925,7.4878,136.099,8.459,7.945,,,,27,9
37,3924108895898931840,TYC 863-50-1,175.324691,14.582668,5.9136,170.684,9.391,8.697,,,,346,2
38,46975431705914112,HIP 19504,62.677046,18.423125,21.3141,46.969,6.477,5.795,,,,2,118
39,3594530732149576192,TYC 5518-332-1,180.946804,-7.705591,8.9704,115.683,10.910,9.739,20060502_1201m05_144,13.12,1.38,347,2
40,1888870129370950656,HIP 112208,340.884509,31.227228,4.7748,211.718,8.660,7.766,,,,348,2
41,4778735266712928896,TYC 8505-1560-1,63.431122,-55.319559,4.0054,254.925,10.361,9.437,20070929_0356m54_127,0.77,0.79,104,3
42,3924330413132090624,TYC 870-282-1,177.121522,14.671610,16.5071,60.722,10.280,8.762,,,,349,2
43,1910421966025859200,TYC 2756-1991-1,350.054398,32.881136,5.0411,201.493,12.011,10.875,,,,350,2
44,662471698653645824,TYC 1383-611-1,126.521166,18.494349,4.8145,212.675,11.000,9.955,,,,351,2
45,527115529444603520,TYC 4024-1577-1,9.792265,64.856971,5.6476,179.397,10.019,9.185,,,,352,2
46,5151396625365348096,TYC 5283-823-1,31.798287,-11.588637,12.6381,79.273,9.487,8.473,,,,353,2
47,5671142952999597056,HIP 49120,150.381416,-18.539516,5.1765,198.015,8.646,8.350,,,,354,2
48,3595849458908716288,TYC 4938-998-1,179.307094,-6.416500,8.4670,119.641,10.085,9.124,20060418_1206m07_048,3.13,0.93,347,2
49,6395961324635041152,TYC 9327-1365-1,329.729454,-69.959454,3.2560,313.892,11.875,10.835,,,,355,2
50,6395962767744052224,TYC 9327-36-1,329.771845,-69.942107,3.1639,322.927,11.508,10.472,20031007_2160m71_077,-11.12,3.27,355,2
51,1538570810002780544,TYC 3020-599-1,185.488008,43.921505,8.8322,113.577,10.491,9.364,,,,345,2
52,1133308725428692224,TYC 4555-118-1,167.189734,80.439378,6.4268,156.586,8.853,8.047,,,,356,2
53,4778899781139308032,TYC 8505-1335-1,66.159805,-55.656223,4.0434,250.977,11.527,10.629,,,,104,3
